"Title","When Lost","Where Lost","Builder","Owner","Master","Sinking","Found","Beam","Bearing to Bow","Cargo","Chart Number","Comments","Confidential","Country Built","Crew","Date Inspected","Deaths","Draft","Engine","File Number","Found","Inspected","Latitude Max","Latitude Min","Length","Length of site","Longitude Max","Longitude Min","Minimum Depth of site","Official Number","Port Built","Port From","Port Registered","Port To","Position Information","Protected","Sources","Sunk Code","TONA","TONB","When Built","Unique Number","Construction","Industry1","Industry2","Type","Region"
"Achieved","1963/11/25","Two Rocks","","","","Sank","N","","","","","","NO","","","","","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","398","","Fisheries","","Shipwreck","Metro North"
"Activity","1892/07/19","Condon","","Pearling and Trading Company","","Mooring parted as tide went out","N","5.80","","General","1048","","NO","NSW","","","","2.20","N","3/79, 116/80","N","N","","","23.10","","","","","75026","Cockle Creek, Brisbane Water","Sydney","Sydney","Condon","","Protected Federal","West Australian, 30 July 1892, p. 4e
Loane, Bill, The Koolama Incident,1992
COLLATION 165 p. : ill. (some col.), maps, ports. ; 30 cm.
Register of British Ships, Sydney
West Australian, 30 July 1892, p 4e
Register of British Ships
RAN Hydrographic Department give 17°57.7S122°14,1833E which is Broome","","62.00","","1879","1140","Wooden","Fisheries","","Shipwreck","North West (Eighty Mile Beach Area)"
"Ada","1888/02","Albany, Oyster Harbour","John Peters of Albany","John Cowden and John Bruce, of Albany","","Sunk while crew was ashore cutting poles and sank when they were ashore.","Y","1.60","","","1034/2619, AUS 110","","NO","WA","","1991/07","","4.40","N","2009/0060/SG _MA-8/92","Y","Y","-34.987968","","16.50","","117.970443","","","75321","Albany","","Fremantle","","GPS 2005","Protected State","West Australian, 15 August 1888, p. 3a
Gordon de L. Marshall, Memories of Maritime Albany, Report, Department of Maritime Archaeology, Western Australian Maritime Museum, No 53
McCarthy, M., Wolfe, A. and de L. Marshall, G., 1992 Ada 1886-1888, Wreck Inspection Report - Department of Maritime Archaeology, Western Australian Maritime Museum, No.101
McKenna Collection 680, WA  Maritime Museum","Wrecked and sunk","26.40","","1886","193","Wooden","Transport","cargo - coastal","Shipwreck","S Coast (Albany)"
"Ada","1914/09/","Off Abrolhos Islands","E. Howson, Fremantle","Winter Brandt & Co, Perth","B. Kleem","","N","1.20","","","1056","Also possible official number 95361 built in 1888 in Fremantle","NO","WA","3","","","4.80","N","","N","N","","","15.40","","","","","102254 (?)","Fremantle","","Fremantle (?)","","","Protected Federal","","Foundered","16.33","12.83","1901 (?)","428","Wooden","Fisheries","","Shipwreck","Mid-West (Abrolhos)"
"Ada","1921/02/19","North Island","","","","During storm while searching for anchorage","N","","","","A 751","  Ada was a cutter rigged fishing boat.
THE LOSS
The Ada was wrecked at North Island, Houtman Abrolhos, during the same storm that sank the Columbia. The Geraldton Express of 23 February 1921 reported that the ‘wind blew with almost hurricane force’ and the barometer fell to 29.27 in. The exhausted crew were marooned for two days without food or water before being able to row across South Passage to West Wallabi Island in a leaky dinghy using only one and a half paddles. Here they were rescued by the crew of another fishing boat.","NO","","","","None","","N","","N","N","","","","","","","","","","","","","","Protected Federal","Worsley, P. and J., with Totty, D., 2008. A Windswept Coast: WA Maritime Heritage between the Moore River and the Zuytdorp Cliffs. Special Publication No. 12. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.West Australian 1921/02/25, p. 7-f","Foundered","18.00","","","930","","","","Shipwreck","Mid-West (Abrolhos)"
"Adalia","1880","Near Mangrove Passage","","","","","N","","","","","","NO","","","","","","","","N","","-21.53","","","","115.436945","","","","","","","","RAN Hydrographic Department","Protected Federal","RAN Hydrographic Department database
Source unreliable","","","","","1027","","","","Shipwreck","North West (Onslow Area)"
"Adela","1881/01/07","Yammadery Creek, Mangrove Islands off Yardie","","","","Capsized","N","","","Shell","","35°01.8 – 118°08","NO","","","","","","N","3.79","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","10.00","","","1472","Wooden","Fisheries","pearling","Shipwreck","North West (Dampier Area)"
"Adelma","1930/09/03","","","","","","N","","","","","","NO","","","","2","","","","N","","","","","","","","","","","Fremantle","","Moore River","","Protected Federal","http://oceans1.customer.netspace.net.au/easw.html","","","","","1086","","","","Shipwreck","Mid-West (Moore R)"
"Adroit HMAS","1994/08/08","Off Rottnest Island","Evans, Deakin Brisbane","","","Obsolete and sunk in naval exercise off Rottnest Island","N","6.20","","","","Attack class patrol boat. Sea dumping report quotes 1994/07/04 in 2500m","NO","QLD","","","","","2 diesel engines","","N","N","-32.0666666667","","32.60","","114.75","","","","Brisbane","","","","RAN Hydrographic Department","Protected Federal","RAN Hydrographic Department database","Scuttled","146.00","","1968","946","","Defence","naval","Shipwreck","Metro (Graveyard)"
"Advance","1887/07","Swan River Bar","Lawrence","Randell, Knight and Co.","","Grounded","N","5.10","","","","15°30 – 124°35","NO","WA","","","","1.40","1 ENGINE, 22HP","376/77","N","N","","","22.20","","","","","61112","Perth","","Fremantle","","","Protected State","Inquirer, 27 July 1887, p. 4f and 7 March 1888, p. 3e
West Australian, 6 August 1888, p. 3c","Foundered","38.00","","1874","1543","Comp.","Transport","cargo - coastal","Shipwreck","Metro (Swan R)"
"Adventure","1945/02","North of Rottnest Island, Graveyard","W&S Lawrence, Perth","Swan River Shipping Co. Ltd. Fremantle","","","N","5.80","","","334, 1033","Position of scuttling: 32°05 – 115°22","NO","Australia","","","","2.10","N","445/71","N","N","-32.0666666667","","21.20","","115.3333333333","","","120023","Perth","","Fremantle","","RAN Hydrographic Department","Protected Federal","HMC 106/4
Sea Dumping in Australia 2003 p. 124
British Mercantile Navy List 1917","Scuttled","46.00","","unknown","674","Wooden","","","Shipwreck","Metro (Graveyard)"
"Afric","1915/02/16","Between Swan Point and Sunday Island in King Sound","W./ & S. Lawrence","Robert Child","Charles Morrissy","Sprung a leak, vessel went down in 55m water while master tried to beach her","N","3.60","","","1048, 733, 1206","Beche-de-mer fishery
According to H&L File C. Morrisey was master/owner","NO","WA","5","","1","1.50","N","119/80","N","N","","","10.60","","","","","119002","Fremantle","","Fremantle","","RAN Hydrographic Department","Protected Federal","SRO CONS 1066 ITEM1916/081 Harbour & Light File AN 25/2/1915/
HMC 9/4
Map of location.
McKenna Collection 683, WA  Maritime Museum
British Register of Shipping, Fremantle","Foundered","12.44","14.94","1903","643","Wooden","Fisheries","pearling","Shipwreck","North West (King Sound Area)"
"African","1931","Port Gregory","","Danny Ahern","","","N","","","","","","NO","","","","","","N","117/80","N","N","","","27.00","","","","","","","","","","","Protected Federal","","","","","","430","","","","Shipwreck","Mid-West (Geraldton)"
"African (Sunset Beach wreck)","1863/01/04","Geraldton, Champion Bay, Sunset Beach","","Gibson","Captain Gibson","Stranded and wrecked between two reefs, near Chapman River mouth","Y","10.00","","Wool, ore","332, AUS 81, 1052","  African was built under Special Survey at Sunderland in 1853. A timber ship, it was copper fastened and sheathed with yellow metal over felt. The owner was Captain J. Gibson. The Lloyd’s Registers of 1857 and 1861 show the Builder’s Old Measurement tonnage of this ship as being 780 and the tonnage under the new Act, which came into force on 1 January 1836, as being 888. As the African was built after this date, only the new tonnage is given above.
THE LOSS
The African sailed from Champion Bay for Fremantle on 1 January 1863. The cargo consisted of 522 tons of copper and lead ore from the Wheal Fortune Mine, near Northampton, and 200 or 300 bales of wool. African began taking on water soon after rounding Point Moore and heading south. A heavy gale from the south-west meant that the crew had to constantly pump the ship to clear the bilges. On 4 January the master and owner, Captain J. Gibson, put about to run back to Champion Bay. At 10.00 p.m. the ship struck a reef about 12 miles south of Point Moore. The African was badly damaged but managed to limp back to Champion Bay, where it ran aground some 140 m from the jetty in 4.6 m of water on the morning of 5 January.
The African had 1.8 m of water in the hold and the Resident Magistrate, Thomas Brown, provided a party of prisoners to take over manning the pumps from the exhausted crew. The cargo was unloaded with only 20–30 bales of wool being damaged, because the lighter wool had been loaded on top of the heavier ore. The leak however persisted. A survey was carried out on the hull with the result that Captain Gibson decided that the vessel was not in a fit state to proceed; it could not be repaired at Champion Bay and he had insufficient funds to take the ship elsewhere for repairs. It was therefore abandoned as a constructive total loss. Mr and Mrs Alf Pead lived on board as caretakers until on 23 March the African dragged anchors in a blow. It fetched up some 5 km north, near the mouth of the Chapman River, lying between two reefs. At this stage two of its masts were still standing. (Henderson, G. and K., 1988: 54) The African was subsequently dismantled and some of the timber used to build three smaller vessels.
INQUIRY
An inquiry into the accident concluded that the damage caused was as a result of striking the reef and not from incorrect loading or existing defects in the hull.
INITIAL SALVAGE
The removal of all the cargo was followed, after the declaration of the African as a total constructive loss, by the sale by auction of the rigging, brass scuttles, capstan and other items. All these items were offered separately, as Captain Gibson considered they would fetch more if sold as individual lots. Luke Leake, merchant, purchased the hull and rigging at auction for £1?000. He intended to have it repaired in an Asian port, however no cash was paid and he later successfully repudiated the bargain in court. The cargo was sold for £350. On 26 May 1863 Lionel Samson, a Perth merchant, wrote to the Geraldton merchants, Daniel Henry Scott and William Gale, suggesting a partnership to purchase the wreck. Scott and Gale declined. A second auction on 22 June resulted in Samson buying the wreck for £70.
Samson employed Daniel Chapman to break up the wreck. Chapman had come to Western Australia as a free man on the Scindian (546 tons), the first ship to bring adult convicts to the colony in 1850. In early July 1863 a letter from the Resident Magistrate, Fremantle, to the Colonial Secretary requested:
Sir,
A free emigrant named Chapman having contracted to break up the wreck of the African now lying off shore at Champion Bay is desirous of employing 5 ticket holders in conjunction with 5 free men to assist in the work.
I have the honour to request to be informed if these 5 men will be permitted to work as aforesaid—the African—although stranded—being as I understand it some distance from the shore.
An immediate reply will oblige as Chapman is in the process of starting…[word indecipherable].
A reply from Governor John Stephen Hampton on 4 July 1863 stated:
I do not see any objection to TL men in the proportion to free men herein mentioned being employed for this purpose. This is a purely convict question and the RM should have written to the Comptroller General on the subject.
A local shipwright named William Garrard bought some of the timber and built three vessels—the schooners Mary Ann (O/No. 36551), launched October 1864, 42 ft (12.8?m) length, 33.28 registered tons; the Lass of Geraldton (O/No. 52231), launched 1865, 60.33?ft (18.4 m) length, 37.1 registered tons; and the sailing lighter Albatross, launched 1867, 18 tons burden. Both the Lass of Geraldton and the Albatross were subsequently wrecked, George Shenton being drowned during the loss of the former, and William Garrard in the latter.
SITE LOCATION
Not all of the timber from the wreck was used to build the three vessels. Some of the remaining timbers still lie some 30–50 m off Sunset Beach, north of Geraldton, near the mouth of the Chapman River. Occasionally bronze fastenings, metal knees and other metal objects may also be seen in the vicinity where the African was broken up.
SITE DESCRIPTION
There has been considerable change over the last twenty years in the coastal geomorphology of this area due to human activity. This is a result of the northward expansion of the city of Geraldton and port developments in Champion Bay.
The area over which the remains are scattered consists of a sandy bottom semi-protected by a small offshore reef. Movement of the sandy bottom results in the occasional exposure of the pieces. At other times build up of sand over the site covers the remains until the next scouring process occurs. Most of the timbers and metal objects lie at a depth of about 4 m when sand has been scoured away.
EXCAVATION AND ARTEFACTS
Locals assert that about 1964 a section of deck, approximately 12 m by 3.5 m, was recovered at Sunset Beach near the Chapman River mouth. This had on it a 1.4 m high gunwale on one edge and had obviously come from quite a large vessel. The piece of wreckage was dismantled to obtain the bronze fastenings for sale as scrap metal. In November 1979 the Maritime Archaeological Association of Western Australia obtained some representative examples of bolts, Muntz metal sheathing, bones, coal and a bottle during an exploratory dive on the site. Other objects including pieces of wood have been raised at various times to aid in identifying the wreckage.
Struck the reef that now bears the name of the African. Note however that the Chapman River could not have been named after Daniel Chapman who dismantled the wreck, as the first use of the name occurred during Grey’s trek south in 1839. As mentioned above, Daniel Chapman did not arrive in the colony until 1850.
Luke Leake, who made an offer to buy the damaged ship after Captain Gibson had put it up for auction in Champion Bay, was a prominent Perth merchant. He was later to successfully withdraw from any agreement to purchase.
Lionel Samson, who subsequently purchased the vessel for £70 at a second auction held on 22 June 1864, was another prominent Perth businessman. He was able to obtain the vessel for such a cheap price because the African had dragged anchor and drifted from the harbour to the Sunset Beach area about 5 km north of the town. Samson later on-sold some of the timbers to William Garrard, boat builder of Geraldton.
William Garrard, a ship’s carpenter, had arrived in Western Australia as a convict on the Norwood in 1862 and received his ticket of leave within a month. He brought out his wife and children, received a conditional pardon and moved to Geraldton. Shortly after that the African was purchased by Samson and broken up. Garrard purchased some of the timber and built three vessels. He employed up to nine ticket-of-leave men during the construction of the Mary Ann, Lass of Geraldton and the Albatross.
In June 1868 the two schooners Twinkling Star and Sea Bird were driven ashore by a gale at Port Irwin. The Albatross was sent from Geraldton by the Resident Magistrate with salvage equipment and personnel to attempt to refloat the vessels. This proved successful, but on the return journey to Geraldton strong headwinds were encountered. The Albatross turned around in the vicinity of Point Moore to seek shelter back at Port Irwin. Near the mouth of the Irwin River the lighter was rolled over by a large wave, her deck swept clean and eight people drowned, including Garrard. See earlier section on Albatross.
George Shenton had business interests in both Perth and Geraldton and was the owner of the Mary Ann, and part owner of the Lass of Geraldton with Charles Crowther. Shenton was part owner of the White Peaks copper mine, had a financial interest in the Geraldine mine and assisted many settlers with advice and low interest loans as they struggled to set themselves up as farmers on the Greenough Flats. Another of his business ventures was the purchase of land that later became vital for access to the proposed jetty at Port Irwin. When the Lass of Geraldton capsized in a storm 20 km south of the mouth of the Murray River on 25 March 1867, six people drowned including George Shenton. His obituary in the Perth Gazette of 29 March 1867 reads:
What he gained, and he gained much, he diffused largely and judiciously; the corn-fields and mines of the Victoria District are not fruitful and rich because he ploughed and worked them; but he helped others to do so.
It seems probable that ‘Alf’ Pead mentioned above is the Alexander Pead who lost his life five years later when the Albatross was wrecked at the mouth of the Irwin River. There is a strong connection between the African and the Albatross, the latter being built from the dismantled African.
TECHNICAL (2)
The building of three smaller vessels from the remains of the African may be considered an example of 19th century recycling. This was in fact common practice. Time and effort could be saved over that needed to cut and season timber. Metal fittings, spars and sails were also recovered for re-use on other vessels.","NO","UK","","1979/10","","6.50","N","2009/0061/SG _MA-20/79","Y","Y","-28.725579","","48.00","","114.619229","","","23091","Sunderland","Geraldton Champion Bay","London","Fremantle","Aerial GIS","Protected Federal","Worsley, P. and J., with Totty, D., 2008. A Windswept Coast: WA Maritime Heritage between the Moore River and the Zuytdorp Cliffs. Special Publication No. 12. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.
McCarthy, M., 1978, Sunset Beach Wreck, (African) Unpublished Wreck  Inspection Report,  Department of Maritime Archaeology,
WA Maritime Museum, No.35.
Totty, D., (MAAWA), 1986, Wrecks of Western Australia's Central Mainland Coast, Jurien Bay-Port Gregory, Private Publication & Department Report","Broke mooring","780.00","888.00","1853","1141","Wooden","Transport","cargo - coastal","Shipwreck","Mid-West (Geraldton)"
"Agincourt","1882/04/19","Hamelin Bay","","J.T. Russell, J. McGeorge and W.L. Dickson","Captain Henry Patching","While at anchor","Y","8.70","","Timber","AUS 116","Agincourt was built by William Doxford under Special Survey and launched in January 1863. It was copper-fastened, sheathed with felt and yellow metal, and had a raised quarter deck 12.5 m long. The vessel had been owned by various UK owners until 1880, when it was purchased by a Mr MacGregor of Adelaide. Subsequent owners were the partners W.L. Dickson, C. Russell and E. Trevett, although Dickson is the sole owner listed in Lloyd’s Register of 1882–83. The Agincourt had arrived in Hamelin Bay on 17 February from Adelaide. The barque, under the command of Henry Patching with a crew of eight, had anchored ‘five cables from the jetty in five fathoms water… the jetty was bearing S½E and Edith Ledge bearing N by W½W’ (Captain Patching’s evidence, CSO1455/64). On 19 April it was loaded with timber and ready to sail. The north-west breeze was moderate but later developed in to a gale, with a heavy swell from the same direction.
THE LOSS
The Agincourt dragged the port anchor (nautical assessor’s evidence, CSO 1455/64) or parted the port anchor cable (Captain Patching’s evidence, CSO 1455/64). The starboard anchor was dropped but too late to prevent the barque heavily striking Inside Rocks four times. The captain ordered the cable to be slipped and ran the vessel towards the shore, where it went aground in about 5.5 m of water at 3.00 p.m., less than 30 m from the beach. The pumps were manned but without success. At this time, without the master’s consent, the crew launched the ship’s boat. They were ordered back on board, but headed towards the shore where the boat capsized. Here the ship’s carpenter, William Mitchell aged 50, who could not swim, was drowned.
Captain Patching stated in a letter to the editor of the Inquirer dated 15 May 1882 that the reason the port cable parted was that its long scope enabled it to get caught under the rocky ledges. As soon as he had heard the surging of the port cable he knew it had parted and immediately dropped the starboard anchor, letting out 75 fathoms (137 m) of cable. This stopped the Agincourt, and after taking bearings at 8.00 a.m. to ensure that it was not dragging, he went below for ten minutes to eat breakfast. He then returned on deck, and noted that the vessel had not altered position but an already heavy sea was increasing. He therefore ordered springs put on the starboard cable to help prevent surging. This took until 11.30 am, after which he had the crew man the windlass to heave in the port cable so as to fasten on another anchor. However with every swell the vessel began dragging so he stopped heaving ‘so as to give the ship the benefit of the cable that was then out’, a length of about 45 fathoms (82 m). At 12.45 p.m. the vessel struck Inside Rock. Immediate sounding of the pump well showed 18 in (0.46 m) of water which had increased to 26 in (0.66 m) within ten minutes. To save the vessel sinking into deep water he ordered the cables slipped and hoisted the fore topmast staysail to turn the Agincourt’s bow towards the shore, and beached the barque. His explanation of the starboard anchor not holding was that the stock must have caught on a ledge and broken, as the anchor weighed nearly a ton and was attached to a 13/--8 in (3.5 cm) chain, ‘sufficient to drag the windlass out of the ship if the anchor had held’ (Inquirer, 24 May 1882: 3a).
INQUIRY
A Preliminary Court of Inquiry was held at Vasse on 24 April 1882. A Court of Inquiry, held on 6 and 9 May 1882 at the Busselton court house, charged that Captain Patching acted negligently in:
1. That he neglected to sight his anchor from the time of arrival February 17th until April 19th, a period in excess of 2 months, being in an open roadstead, and knowing the bottom to consist of rocks with intervening patches of sand, and surrounded with reefs on every side.
2. That he allowed the ship to drift into danger without taking bearings when he noticed that the vessel had shifted its position, and not taking the necessary means to ensure its safety.
The Court of Inquiry, made up of R. Fairburn, RM., Dr C.S. Bompas, JP., and Mr Forsyth as nautical assessor, also held Captain Patching partly responsible for the death of the ship’s carpenter. His certificate of competency was suspended for six months.
INITIAL SALVAGE
An auction of the wreck of the Agincourt was held in late May 1882, conducted by James Moore at the Wellington Hotel in Perth, ‘and the greater part of it disposed of at very nominal prices, owing to the inaccessibility of the vessel’s position’ (West Australian, 26 May 1882: 3b). The only purchaser was H. Tombs, manager of M.C. Davies’ timber company.
SITE LOCATION
The Agincourt is situated 900 m north of the boat launching ramp at Hamelin Bay, and 120 m offshore. It lies just south and inshore of Inside Rock; which is the exact position given by Captain Patching and the crew in their evidence to the inquiry.
SITE DESCRIPTION:
The wreck of the Agincourt lies on a sandy bottom on an axis of 104°, bows towards the beach, in 5–6 m of water. The lower part of the hull, which cants slightly to starboard, is intact. It has 95 mm thick planks with a ceiling inside of 70 mm planks. Fastenings are mostly yellow metal, with some copper in the vicinity of the keel. The vessel was sheathed with yellow metal, and some of this remains. A rudder gudgeon is on the sternpost, and there is part of the cargo of neatly stacked timber sleepers still in the hull. These sleepers are 2.6 m long by 220 mm wide and 110 mm thick, and they and the timber of the hull have had very little damage from marine borers. The iron barrel of the windlass lies on the starboard side of the bow. Five metres closer inshore there is a section of the upper hull, with seven chainplates still attached. An iron water tank lies between the hull sections.
EXCAVATION AND ARTEFACTS
The Western Australian Museum wreck inspection of 26–27 April 1977 by Scott Sledge recovered a variety of artefacts including wood samples from the planking, assorted yellow metal fastenings, pot sherds, lead pipe, a number ‘8’ draught marker from the bow and a piece of green bottle glass.","NO","UK","","2002/02","1","5.50","N","2009/0062/SG _MA-356/77","Y","Y","-34.2145683333","","40.20","","115.03366","","","45596","Sunderland","At anchor, Hamelin Bay","Adelaide","At anchor, Hamelin Bay","GPS DoLA Aerial 2004/3/31","Protected Federal","Worsley, P. and J. with Green, J., 2012. Capes of Sunset: Western Australia's Maritime Heritage Between Peel Inlet and Flinders Bay. Special Publication. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.
SRO 129 ITEM-32/596 Police Department Vasse 10/5/1882
Inquiry evidence, 6 May 1882, CSO 1455, fol. 64 Sledge, S., 1977, Unpublished Wreck Inspection
Report, Department of Maritime Archaeology,
Western Australian Maritime Museum, No.28.
Clarke, M., 1986, Hamelin Bay Expedition.	 MAAWA Special Report.","Wrecked and sunk","443.00","","1863","250","Comp.","Transport","cargo - international","Shipwreck","SW Coast (Hamelin Bay)"
"Agnes","1893","Exmouth Gulf","","C.J. Carlson","","","N","","","","A 744","32°01 – 115°19","NO","NSW","","","","","N","152/72","N","N","","","","","","","","73349","Sydney, North Shore","","Sydney","","","Protected Federal","Report of Captain Biddles (transcript of telephone message), 2 March 1893; also Telegram, Inspector of Pearlshell Fisheries to Acting Premier, 4 March 1893, CSO 398/1893","","","","1876","711","Wooden","Fisheries","pearling","Shipwreck","North West (Exmouth Gulf)"
"Agnes","1955/04/14","Between 5 Fathom Bank and Stragglers","","Western Australian State Shipping Service","","Between 5 Fathom Bank and Stragglers","N","","","","","","NO","","","","","","N","445/71","N","N","","","","","","","","","","","","","","Not protected Federal","SRO CONS 6654 ITEM  1955/729 Wrecks off WA Coast Harbour and Lights Department Wrecks and Strandings Cons1066 ITEM 1916/081  1937/847
Possibly Agnes stranded at Hoptown 1907 and refloated","Scuttled","","","","912","","Services","port services","Shipwreck","Metro (S Fremantle)"
"Agnes","1907/11/08","Hopetoun","","Adelaide S.S. Co. Ltd","","Dragged anchors, outer road and went ashore","N","7.30","","","1034","Co-ordinates 10' off","NO","NSW","","","","1.80","Steam engine 14 nhp","195/72","N","N","","","26.70","","","","","87315","Brisbane Water","","","","","Protected Federal","Western Mail 1907/11/09, p. 26b Gordon de L. Marshall, Memories of Maritime Albany, Report, Department of Maritime Archaeology, Western Australian Maritime Museum, No 53 McKenna Collection, WA Maritime Museum","Refloated","78.00","53.00","1880","1187","Wooden","","","Stranding","S Coast (Esperance)"
